post,azimuth,wind_direction,concentration,distance
56,190.0,5.56,0.06720000000000001,200
57,193.0,2.56,2.6125,50
57,193.0,2.56,0.3196,100
58,196.0,0.43,1.2065,50
58,196.0,0.43,0.0752,100
59,199.0,0.43,0.5605,50
59,199.0,0.43,0.0188,100
25,97.0,0.42,0.816,50
25,97.0,0.42,0.01365,100
26,100.0,1.46,2.3424,50
26,100.0,1.46,0.0637,100
27,103.0,3.77,2.8512,50
27,103.0,3.77,0.3185,100
27,103.0,3.77,0.0046,200
28,106.0,2.51,2.7552,50
28,106.0,2.51,0.9464,100
28,106.0,2.51,0.138,200
29,109.0,3.77,3.7439999999999998,50
29,109.0,3.77,1.7654,100
29,109.0,3.77,0.2668,200
30,112.0,4.6,3.9936,50
30,112.0,4.6,1.5925,100
30,112.0,4.6,0.3772,200
31,115.0,4.6,4.579199999999999,50
31,115.0,4.6,0.9828000000000001,100
31,115.0,4.6,0.23920000000000002,200
32,118.0,1.25,3.4368,50
32,118.0,1.25,0.91,100
32,118.0,1.25,0.322,200
33,121.0,2.93,3.0912,50
33,121.0,2.93,0.9737000000000001,100
33,121.0,2.93,0.3496,200
34,124.0,1.67,3.6672,50
34,124.0,1.67,0.9282,100
34,124.0,1.67,0.25760000000000005,200
35,127.0,1.26,4.924799999999999,50
35,127.0,1.26,0.9191,100
35,127.0,1.26,0.2668,200
36,130.0,2.52,5.5775999999999994,50
36,130.0,2.52,0.49140000000000006,100
36,130.0,2.52,0.2116,200
37,133.0,5.23,4.8864,50
37,133.0,5.23,1.1739000000000002,100
37,133.0,5.23,0.24840000000000004,200
38,136.0,6.28,4.2432,50
38,136.0,6.28,1.6107,100
38,136.0,6.28,0.2852,200
39,139.0,7.53,6.7584,50
39,139.0,7.53,1.9656000000000002,100
39,139.0,7.53,0.34040000000000004,200
40,142.0,8.16,8.6112,50
40,142.0,8.16,2.1931000000000003,100
40,142.0,8.16,0.5244,200
41,145.0,6.9,8.8416,50
41,145.0,6.9,2.7482,100
41,145.0,6.9,0.47840000000000005,200
42,148.0,12.77,8.351999999999999,50
42,148.0,12.77,2.7391,100
42,148.0,12.77,0.6072000000000001,200
43,151.0,8.78,6.7584,50
43,151.0,8.78,2.3842000000000003,100
43,151.0,8.78,0.3956,200
44,154.0,3.14,7.0752,50
44,154.0,3.14,1.9838000000000002,100
44,154.0,3.14,0.2944,200
45,157.0,2.09,8.016,50
45,157.0,2.09,1.2012,100
45,157.0,2.09,0.3312,200
46,160.0,1.67,5.4719999999999995,50
46,160.0,1.67,1.0555999999999999,100
46,160.0,1.67,0.0782,200
47,163.0,1.46,3.1968,50
47,163.0,1.46,0.42769999999999997,100
47,163.0,1.46,0.0782,200
48,166.0,2.3,2.0256,50
48,166.0,2.3,0.273,100
48,166.0,2.3,0.0782,200
49,169.0,1.46,1.6896,50
49,169.0,1.46,0.3822,100
49,169.0,1.46,0.032200000000000006,200
50,172.0,1.05,1.4112,50
50,172.0,1.05,0.2912,100
51,175.0,0.42,0.9023999999999999,50
51,175.0,0.42,0.1274,100
51,175.0,0.42,0.0828,200
5,37.0,1.6,2.755,50
5,37.0,1.6,0.6204,100
5,37.0,1.6,0.0912,200
6,40.0,5.75,5.8995,50
6,40.0,5.75,1.6167999999999998,100
6,40.0,5.75,0.3264,200
7,43.0,4.79,10.639999999999999,50
7,43.0,4.79,3.2618,100
7,43.0,4.79,0.7776000000000001,200
8,46.0,14.38,12.635,50
8,46.0,14.38,4.276999999999999,100
8,46.0,14.38,1.152,200
9,49.0,10.54,13.395,50
9,49.0,10.54,4.8128,100
9,49.0,10.54,1.296,200
10,52.0,13.74,13.014999999999999,50
10,52.0,13.74,4.606,100
10,52.0,13.74,1.1904,200
11,55.0,12.46,11.114999999999998,50
11,55.0,12.46,3.7693999999999996,100
11,55.0,12.46,1.0272000000000001,200
12,58.0,14.38,8.4835,50
12,58.0,14.38,2.5473999999999997,100
12,58.0,14.38,0.7392,200
13,61.0,6.39,5.7475,50
13,61.0,6.39,1.3912,100
13,61.0,6.39,0.33599999999999997,200
14,64.0,8.31,3.4294999999999995,50
14,64.0,8.31,0.9306,100
14,64.0,8.31,0.1248,200
15,67.0,4.15,2.1945,50
15,67.0,4.15,0.3478,100
15,67.0,4.15,0.0288,200
16,70.0,3.19,0.8265,50
16,70.0,3.19,0.1504,100
16,70.0,3.19,0.0048,200
17,73.0,0.32,0.14725,50
17,73.0,0.32,0.0047,100
26,100.0,0.42,1.4784,50
26,100.0,0.42,0.9023999999999999,100
26,100.0,0.42,0.3069,200
28,106.0,0.84,2.5152,50
28,106.0,0.84,1.3159999999999998,100
28,106.0,0.84,0.5859000000000001,200
29,109.0,2.09,3.5328,50
29,109.0,2.09,1.9457999999999998,100
29,109.0,2.09,0.6416999999999999,200
30,112.0,1.67,5.0496,50
30,112.0,1.67,1.8987999999999998,100
30,112.0,1.67,0.465,200
31,115.0,7.11,4.8191999999999995,50
31,115.0,7.11,1.1092,100
31,115.0,7.11,0.29760000000000003,200
32,118.0,3.35,6.086399999999999,50
32,118.0,3.35,0.7332,100
32,118.0,3.35,0.13485,200
33,121.0,7.95,5.2224,50
33,121.0,7.95,1.0058,100
33,121.0,7.95,0.11625,200
34,124.0,4.18,4.1952,50
34,124.0,4.18,0.8178,100
34,124.0,4.18,0.15345,200
35,127.0,1.26,2.5728,50
35,127.0,1.26,0.6956,100
35,127.0,1.26,0.15345,200
36,130.0,3.35,4.4832,50
36,130.0,3.35,0.9588,100
36,130.0,3.35,0.15345,200
37,133.0,0.84,4.8768,50
37,133.0,0.84,0.9211999999999999,100
37,133.0,0.84,0.2325,200
38,136.0,2.09,3.5616,50
38,136.0,2.09,1.0058,100
38,136.0,2.09,0.1953,200
39,139.0,1.67,3.6959999999999997,50
39,139.0,1.67,0.9588,100
39,139.0,1.67,0.279,200
40,142.0,2.09,5.4432,50
40,142.0,2.09,0.8271999999999999,100
40,142.0,2.09,0.2604,200
41,145.0,4.6,6.5856,50
41,145.0,4.6,1.504,100
41,145.0,4.6,0.25110000000000005,200
42,148.0,5.02,8.5056,50
42,148.0,5.02,2.4816,100
42,148.0,5.02,0.4278,200
43,151.0,7.11,9.4272,50
43,151.0,7.11,2.3593999999999995,100
43,151.0,7.11,0.48360000000000003,200
44,154.0,7.11,7.7472,50
44,154.0,7.11,2.8106,100
44,154.0,7.11,0.4371,200
45,157.0,6.7,8.688,50
45,157.0,6.7,2.5568,100
45,157.0,6.7,0.2697,200
46,160.0,10.04,5.7888,50
46,160.0,10.04,2.162,100
46,160.0,10.04,0.2697,200
47,163.0,5.02,10.655999999999999,50
47,163.0,5.02,1.8423999999999998,100
47,163.0,5.02,0.16275,200
48,166.0,3.77,9.043199999999999,50
48,166.0,3.77,2.0116,100
48,166.0,3.77,0.1953,200
49,169.0,2.09,9.043199999999999,50
49,169.0,2.09,2.3312,100
49,169.0,2.09,0.35340000000000005,200
50,172.0,3.77,10.559999999999999,50
50,172.0,3.77,1.9457999999999998,100
50,172.0,3.77,0.279,200
51,175.0,1.67,7.795199999999999,50
51,175.0,1.67,1.88,100
51,175.0,1.67,0.3813,200
52,178.0,0.42,6.739199999999999,50
52,178.0,0.42,1.0528,100
52,178.0,0.42,0.2697,200
53,181.0,2.93,5.3184,50
53,181.0,2.93,0.7143999999999999,100
53,181.0,2.93,0.13485,200
54,184.0,0.42,2.5824,50
54,184.0,0.42,0.8178,100
54,184.0,0.42,0.2883,200
55,187.0,0.42,1.4496,50
55,187.0,0.42,0.6392,100
55,187.0,0.42,0.04650000000000001,200
1,25.0,0.42,0.14209999999999998,50
1,25.0,0.42,0.0495,100
3,31.0,0.42,1.813,50
3,31.0,0.42,0.14354999999999998,100
3,31.0,0.42,0.0097,200
4,34.0,0.84,2.5382,50
4,34.0,0.84,0.8118,100
4,34.0,0.84,0.058199999999999995,200
5,37.0,2.53,4.6746,50
5,37.0,2.53,1.4256,100
5,37.0,2.53,0.32980000000000004,200
6,40.0,5.91,6.517,50
6,40.0,5.91,2.376,100
6,40.0,5.91,0.6208,200
7,43.0,4.64,9.898,50
7,43.0,4.64,3.3066,100
7,43.0,4.64,0.9409,200
8,46.0,13.08,14.112,50
8,46.0,13.08,4.9104,100
8,46.0,13.08,1.2027999999999999,200
9,49.0,12.66,16.169999999999998,50
9,49.0,12.66,5.910299999999999,100
9,49.0,12.66,1.5132,200
10,52.0,11.39,16.072,50
10,52.0,11.39,4.9797,100
10,52.0,11.39,1.261,200
11,55.0,12.66,13.034,50
11,55.0,12.66,4.4055,100
11,55.0,12.66,93.12,200
12,58.0,10.12,8.6436,50
12,58.0,10.12,2.8908,100
12,58.0,10.12,0.6596000000000001,200
13,61.0,6.33,6.8306,50
13,61.0,6.33,2.0492999999999997,100
13,61.0,6.33,0.4462,200
14,64.0,5.91,4.5766,50
14,64.0,5.91,1.2177,100
14,64.0,5.91,0.39769999999999994,200
15,67.0,2.95,2.7734,50
15,67.0,2.95,0.5148,100
15,67.0,2.95,0.3201,200
16,70.0,1.27,1.9796,50
16,70.0,1.27,0.7424999999999999,100
16,70.0,1.27,0.2619,200
17,73.0,1.69,1.7052,50
17,73.0,1.69,0.8415,100
17,73.0,1.69,0.0388,200
18,76.0,2.11,1.1367999999999998,50
18,76.0,2.11,0.2574,100
19,79.0,1.27,0.3822,50
19,79.0,1.27,0.0693,100
20,82.0,1.69,0.06860000000000001,50
21,85.0,1.69,0.0147,50
9,49.0,0.84,0.0624,50
10,52.0,0.42,0.1152,50
11,55.0,0.42,0.40319999999999995,50
11,55.0,0.42,0.0194,100
12,58.0,0.42,0.816,50
12,58.0,0.42,0.06305,100
13,61.0,2.51,1.8432,50
13,61.0,2.51,0.16005,100
14,64.0,2.93,2.3424,50
14,64.0,2.93,0.3686,100
15,67.0,4.18,3.4656,50
15,67.0,4.18,0.7566,100
15,67.0,4.18,0.029099999999999997,200
16,70.0,7.95,5.1743999999999994,50
16,70.0,7.95,1.0573000000000001,100
16,70.0,7.95,0.194,200
17,73.0,5.86,7.0272,50
17,73.0,5.86,1.9205999999999999,100
17,73.0,5.86,0.3589,200
18,76.0,7.95,8.4,50
18,76.0,7.95,2.4928999999999997,100
18,76.0,7.95,0.5432,200
19,79.0,8.79,8.361600000000001,50
19,79.0,8.79,2.2697999999999996,100
19,79.0,8.79,0.6111,200
20,82.0,7.53,7.8048,50
20,82.0,7.53,2.1048999999999998,100
20,82.0,7.53,0.4753,200
21,85.0,5.85,6.624,50
21,85.0,5.85,2.0758,100
21,85.0,5.85,0.6208,200
22,88.0,6.27,6.2304,50
22,88.0,6.27,2.1146000000000003,100
22,88.0,6.27,0.4365,200
23,91.0,6.69,4.8096,50
23,91.0,6.69,1.6586999999999998,100
23,91.0,6.69,0.291,200
24,94.0,3.35,4.4736,50
24,94.0,3.35,1.2319,100
24,94.0,3.35,0.17459999999999998,200
25,97.0,6.69,4.5504,50
25,97.0,6.69,1.2222,100
25,97.0,6.69,0.30069999999999997,200
26,100.0,3.35,3.6287999999999996,50
26,100.0,3.35,1.3289,100
26,100.0,3.35,0.2425,200
27,103.0,3.77,3.1487999999999996,50
27,103.0,3.77,0.7663,100
27,103.0,3.77,0.2231,200
28,106.0,2.51,3.0336,50
28,106.0,2.51,0.8536,100
28,106.0,2.51,0.2134,200
29,109.0,1.67,2.4095999999999997,50
29,109.0,1.67,1.1542999999999999,100
29,109.0,1.67,0.33949999999999997,200
30,112.0,2.09,2.7936,50
30,112.0,2.09,0.9602999999999999,100
30,112.0,2.09,0.2522,200
31,115.0,2.09,2.1024,50
31,115.0,2.09,0.873,100
31,115.0,2.09,0.1552,200
32,118.0,1.26,1.1423999999999999,50
