post,azimuth,wind_direction,concentration,distance,U,q
50,172,0.42,1.5834000000000001,50,2.62,6.67
50,172,0.42,0.021750000000000002,100,2.62,6.67
51,175,1.66,1.3559,50,2.62,6.67
51,175,1.66,0.013049999999999999,100,2.62,6.67
52,178,0.42,1.3195,50,2.62,6.67
53,181,0.42,0.8827,50,2.62,6.67
54,184,2.07,0.8827,50,2.62,6.67
55,187,0.83,0.7189000000000001,50,2.62,6.67
56,190,1.24,0.35490000000000005,50,2.62,6.67
57,193,0.83,0.24570000000000003,50,2.62,6.67
58,196,1.24,0.09100000000000001,50,2.62,6.67
59,199,0.42,0.05915,50,2.62,6.67
38,136,1.28,0.3515,50,5.25,8.82
38,136,1.28,0.1081,100,5.25,8.82
38,136,1.28,0.0048,200,5.25,8.82
39,139,2.56,0.988,50,5.25,8.82
39,139,2.56,0.45119999999999993,100,5.25,8.82
39,139,2.56,0.1296,200,5.25,8.82
40,142,0.85,2.1185,50,5.25,8.82
40,142,0.85,0.4324,100,5.25,8.82
40,142,0.85,0.1824,200,5.25,8.82
41,145,1.28,2.1755,50,5.25,8.82
41,145,1.28,0.9682,100,5.25,8.82
41,145,1.28,0.2208,200,5.25,8.82
42,148,2.14,1.9094999999999998,50,5.25,8.82
42,148,2.14,1.0246,100,5.25,8.82
42,148,2.14,0.288,200,5.25,8.82
43,151,2.99,1.8335,50,5.25,8.82
43,151,2.99,0.8083999999999999,100,5.25,8.82
43,151,2.99,0.2496,200,5.25,8.82
44,154,4.7,2.0425,50,5.25,8.82
44,154,4.7,0.5357999999999999,100,5.25,8.82
44,154,4.7,0.13440000000000002,200,5.25,8.82
45,157,3.85,2.831,50,5.25,8.82
45,157,3.85,0.5546,100,5.25,8.82
45,157,3.85,0.816,200,5.25,8.82
46,160,6.84,3.5435,50,5.25,8.82
46,160,6.84,0.7707999999999999,100,5.25,8.82
46,160,6.84,0.0912,200,5.25,8.82
47,163,6.41,6.517,50,5.25,8.82
47,163,6.41,1.4852,100,5.25,8.82
47,163,6.41,0.24,200,5.25,8.82
48,166,9.83,9.785,50,5.25,8.82
48,166,9.83,3.0268,100,5.25,8.82
48,166,9.83,0.4608,200,5.25,8.82
49,169,5.13,11.969999999999999,50,5.25,8.82
49,169,5.13,3.525,100,5.25,8.82
49,169,5.13,0.7008,200,5.25,8.82
50,172,6.41,12.35,50,5.25,8.82
50,172,6.41,2.7918,100,5.25,8.82
50,172,6.41,0.6719999999999999,200,5.25,8.82
51,175,10.68,11.78,50,5.25,8.82
51,175,10.68,2.8669999999999995,100,5.25,8.82
51,175,10.68,0.7008,200,5.25,8.82
52,178,8.97,11.02,50,5.25,8.82
52,178,8.97,3.3276,100,5.25,8.82
52,178,8.97,0.9119999999999999,200,5.25,8.82
53,181,6.84,11.589999999999998,50,5.25,8.82
53,181,6.84,2.961,100,5.25,8.82
53,181,6.84,0.7392,200,5.25,8.82
54,184,8.12,8.417,50,5.25,8.82
54,184,8.12,2.6414,100,5.25,8.82
54,184,8.12,0.5184,200,5.25,8.82
55,187,2.14,5.984999999999999,50,5.25,8.82
55,187,2.14,2.068,100,5.25,8.82
55,187,2.14,0.39359999999999995,200,5.25,8.82
56,190,5.56,4.2275,50,5.25,8.82
56,190,5.56,1.3254,100,5.25,8.82
56,190,5.56,0.06720000000000001,200,5.25,8.82
57,193,2.56,2.6125,50,5.25,8.82
57,193,2.56,0.3196,100,5.25,8.82
58,196,0.43,1.2065,50,5.25,8.82
58,196,0.43,0.0752,100,5.25,8.82
59,199,0.43,0.5605,50,5.25,8.82
59,199,0.43,0.0188,100,5.25,8.82
25,97,0.42,0.816,50,4.21,7.24
25,97,0.42,0.01365,100,4.21,7.24
26,100,1.46,2.3424,50,4.21,7.24
26,100,1.46,0.0637,100,4.21,7.24
27,103,3.77,2.8512,50,4.21,7.24
27,103,3.77,0.3185,100,4.21,7.24
27,103,3.77,0.0046,200,4.21,7.24
28,106,2.51,2.7552,50,4.21,7.24
28,106,2.51,0.9464,100,4.21,7.24
28,106,2.51,0.138,200,4.21,7.24
29,109,3.77,3.7439999999999998,50,4.21,7.24
29,109,3.77,1.7654,100,4.21,7.24
29,109,3.77,0.2668,200,4.21,7.24
30,112,4.6,3.9936,50,4.21,7.24
30,112,4.6,1.5925,100,4.21,7.24
30,112,4.6,0.3772,200,4.21,7.24
31,115,4.6,4.579199999999999,50,4.21,7.24
31,115,4.6,0.9828000000000001,100,4.21,7.24
31,115,4.6,0.23920000000000002,200,4.21,7.24
32,118,1.25,3.4368,50,4.21,7.24
32,118,1.25,0.91,100,4.21,7.24
32,118,1.25,0.322,200,4.21,7.24
33,121,2.93,3.0912,50,4.21,7.24
33,121,2.93,0.9737000000000001,100,4.21,7.24
33,121,2.93,0.3496,200,4.21,7.24
34,124,1.67,3.6672,50,4.21,7.24
34,124,1.67,0.9282,100,4.21,7.24
34,124,1.67,0.25760000000000005,200,4.21,7.24
35,127,1.26,4.924799999999999,50,4.21,7.24
35,127,1.26,0.9191,100,4.21,7.24
35,127,1.26,0.2668,200,4.21,7.24
36,130,2.52,5.5775999999999994,50,4.21,7.24
36,130,2.52,0.49140000000000006,100,4.21,7.24
36,130,2.52,0.2116,200,4.21,7.24
37,133,5.23,4.8864,50,4.21,7.24
37,133,5.23,1.1739000000000002,100,4.21,7.24
37,133,5.23,0.24840000000000004,200,4.21,7.24
38,136,6.28,4.2432,50,4.21,7.24
38,136,6.28,1.6107,100,4.21,7.24
38,136,6.28,0.2852,200,4.21,7.24
39,139,7.53,6.7584,50,4.21,7.24
39,139,7.53,1.9656000000000002,100,4.21,7.24
39,139,7.53,0.34040000000000004,200,4.21,7.24
40,142,8.16,8.6112,50,4.21,7.24
40,142,8.16,2.1931000000000003,100,4.21,7.24
40,142,8.16,0.5244,200,4.21,7.24
41,145,6.9,8.8416,50,4.21,7.24
41,145,6.9,2.7482,100,4.21,7.24
41,145,6.9,0.47840000000000005,200,4.21,7.24
42,148,12.77,8.351999999999999,50,4.21,7.24
42,148,12.77,2.7391,100,4.21,7.24
42,148,12.77,0.6072000000000001,200,4.21,7.24
43,151,8.78,6.7584,50,4.21,7.24
43,151,8.78,2.3842000000000003,100,4.21,7.24
43,151,8.78,0.3956,200,4.21,7.24
44,154,3.14,7.0752,50,4.21,7.24
44,154,3.14,1.9838000000000002,100,4.21,7.24
44,154,3.14,0.2944,200,4.21,7.24
45,157,2.09,8.016,50,4.21,7.24
45,157,2.09,1.2012,100,4.21,7.24
45,157,2.09,0.3312,200,4.21,7.24
46,160,1.67,5.4719999999999995,50,4.21,7.24
46,160,1.67,1.0555999999999999,100,4.21,7.24
46,160,1.67,0.0782,200,4.21,7.24
47,163,1.46,3.1968,50,4.21,7.24
47,163,1.46,0.42769999999999997,100,4.21,7.24
47,163,1.46,0.0782,200,4.21,7.24
48,166,2.3,2.0256,50,4.21,7.24
48,166,2.3,0.273,100,4.21,7.24
48,166,2.3,0.0782,200,4.21,7.24
49,169,1.46,1.6896,50,4.21,7.24
49,169,1.46,0.3822,100,4.21,7.24
49,169,1.46,0.032200000000000006,200,4.21,7.24
50,172,1.05,1.4112,50,4.21,7.24
50,172,1.05,0.2912,100,4.21,7.24
50,172,1.05,0.0575,200,4.21,7.24
51,175,0.42,0.9023999999999999,50,4.21,7.24
51,175,0.42,0.1274,100,4.21,7.24
51,175,0.42,0.0828,200,4.21,7.24
5,37,1.6,2.755,50,8.76,9.16
5,37,1.6,0.6204,100,8.76,9.16
5,37,1.6,0.0912,200,8.76,9.16
6,40,5.75,5.8995,50,8.76,9.16
6,40,5.75,1.6167999999999998,100,8.76,9.16
6,40,5.75,0.3264,200,8.76,9.16
7,43,4.79,10.639999999999999,50,8.76,9.16
7,43,4.79,3.2618,100,8.76,9.16
7,43,4.79,0.7776000000000001,200,8.76,9.16
8,46,14.38,12.635,50,8.76,9.16
8,46,14.38,4.276999999999999,100,8.76,9.16
8,46,14.38,1.152,200,8.76,9.16
9,49,10.54,13.395,50,8.76,9.16
9,49,10.54,4.8128,100,8.76,9.16
9,49,10.54,1.296,200,8.76,9.16
10,52,13.74,13.014999999999999,50,8.76,9.16
