post,azimuth,wind_direction,concentration,distance,U
68,123.0,5.0,221.34,50,3.0
68,123.0,5.0,64.914,100,3.0
68,123.0,5.0,18.972,200,3.0
69,124.5,7.5,232.5,50,3.0
69,124.5,7.5,66.8205,100,3.0
69,124.5,7.5,19.855500000000003,200,3.0
70,126.0,10.0,243.66000000000003,50,3.0
70,126.0,10.0,68.727,100,3.0
70,126.0,10.0,20.739,200,3.0
71,127.5,10.415,217.155,50,3.0
71,127.5,10.415,61.845000000000006,100,3.0
71,127.5,10.415,19.716000000000005,200,3.0
72,129.0,10.83,190.65,50,3.0
72,129.0,10.83,54.963,100,3.0
72,129.0,10.83,18.693,200,3.0
73,130.5,10.0,158.565,50,3.0
73,130.5,10.0,48.313500000000005,100,3.0
73,130.5,10.0,14.136000000000001,200,3.0
74,132.0,9.17,126.48,50,3.0
74,132.0,9.17,41.664,100,3.0
74,132.0,9.17,9.579,200,3.0
75,133.5,7.295,114.39,50,3.0
75,133.5,7.295,32.642999999999994,100,3.0
75,133.5,7.295,6.296100000000001,200,3.0
76,135.0,5.42,102.30000000000001,50,3.0
76,135.0,5.42,23.622,100,3.0
76,135.0,5.42,3.0132000000000003,200,3.0
77,136.5,6.46,91.3725,50,3.0
77,136.5,6.46,17.995500000000003,100,3.0
77,136.5,6.46,1.9041750000000004,200,3.0
78,138.0,7.5,80.44500000000001,50,3.0
78,138.0,7.5,12.369000000000002,100,3.0
78,138.0,7.5,0.79515,200,3.0
79,139.5,6.875,58.497,50,3.0
79,139.5,6.875,7.9701,100,3.0
79,139.5,6.875,0.445005,200,3.0
80,141.0,6.25,36.549,50,3.0
80,141.0,6.25,3.5712,100,3.0
80,141.0,6.25,0.09486,200,3.0
81,142.5,5.415,26.086499999999997,50,3.0
81,142.5,5.415,2.022285,100,3.0
82,144.0,4.58,15.624000000000002,50,3.0
82,144.0,4.58,0.47337,100,3.0
83,145.5,3.75,10.606650000000002,50,3.0
83,145.5,3.75,0.31992,100,3.0
84,147.0,2.92,5.5893,50,3.0
84,147.0,2.92,0.16647,100,3.0
85,148.5,2.5,4.1292,50,3.0
85,148.5,2.5,0.1116,100,3.0
86,150.0,2.08,2.6691000000000003,50,3.0
86,150.0,2.08,0.05673,100,3.0
87,151.5,1.87,1.66284,50,3.0
88,153.0,1.66,0.65658,50,3.0
92,159.0,0.42,0.043710000000000006,50,3.0
32,69.0,0.83,4.857600000000001,50,3.98
32,69.0,0.83,1.9043999999999999,100,3.98
32,69.0,0.83,0.08832000000000001,200,3.98
33,70.5,1.25,5.6442,50,3.98
33,70.5,1.25,2.4196,100,3.98
33,70.5,1.25,0.14536000000000002,200,3.98
34,72.0,1.67,6.4308000000000005,50,3.98
34,72.0,1.67,2.9348,100,3.98
34,72.0,1.67,0.2024,200,3.98
35,73.5,2.5,14.899400000000002,50,3.98
35,73.5,2.5,5.1888,100,3.98
35,73.5,2.5,0.9154,200,3.98
36,75.0,3.33,23.368,50,3.98
36,75.0,3.33,7.4428,100,3.98
36,75.0,3.33,1.6284,200,3.98
37,76.5,4.165,35.190000000000005,50,3.98
37,76.5,4.165,12.0934,100,3.98
37,76.5,4.165,2.9532000000000003,200,3.98
38,78.0,5.0,47.012,50,3.98
38,78.0,5.0,16.744,100,3.98
38,78.0,5.0,4.2780000000000005,200,3.98
39,79.5,5.835,69.506,50,3.98
39,79.5,5.835,23.46,100,3.98
39,79.5,5.835,5.244000000000001,200,3.98
40,81.0,6.67,92.0,50,3.98
40,81.0,6.67,30.176,100,3.98
40,81.0,6.67,6.21,200,3.98
41,82.5,7.295,103.96000000000001,50,3.98
41,82.5,7.295,35.006,100,3.98
41,82.5,7.295,8.625,200,3.98
42,84.0,7.92,115.92,50,3.98
42,84.0,7.92,39.836,100,3.98
42,84.0,7.92,11.040000000000001,200,3.98
43,85.5,6.67,132.48000000000002,50,3.98
43,85.5,6.67,27.324,100,3.98
43,85.5,6.67,12.052,200,3.98
44,87.0,5.42,149.04000000000002,50,3.98
44,87.0,5.42,14.812000000000001,100,3.98
44,87.0,5.42,13.064,200,3.98
45,88.5,5.625,160.54000000000002,50,3.98
45,88.5,5.625,32.660000000000004,100,3.98
