Run 1
Post Number,Degrees,Azimuth (Degrees),Wind-Dir (%),Concentrations (mg/m3) 50,Concentrations (mg/m3) 100,Concentrations (mg/m3) 200
58,171,196,0.430,1.270,0.080,NaN
59,174,199,0.430,0.590,0.020,NaN
60,177,202,NaN,0.230,0.025,NaN
61,180,205,NaN,0.065,0.005,NaN
62,183,208,NaN,NaN,NaN,NaN
Run 6
23,66,91,NaN,NaN,NaN,NaN
24,69,94,NaN,0.130,NaN,NaN
25,72,97,0.420,0.850,0.015,NaN
26,75,100,1.460,2.440,0.070,NaN
27,78,103,3.770,2.970,0.350,0.005
28,81,106,2.510,2.870,1.040,0.150
29,84,109,3.770,3.900,1.940,0.290
30,87,112,4.600,4.160,1.750,0.410
31,90,115,4.600,4.770,1.080,0.260
32,93,118,1.250,3.580,1.000,0.350
33,96,121,2.930,3.220,1.070,0.380
34,99,124,1.670,3.820,1.020,0.280
35,102,127,1.260,5.130,1.010,0.290
36,105,130,2.520,5.810,0.540,0.230
37,108,133,5.230,5.090,1.290,0.270
38,111,136,6.280,4.420,1.770,0.310
39,114,139,7.530,7.040,2.160,0.370
40,117,142,8.160,8.970,2.410,0.570
41,120,145,6.900,9.210,3.020,0.520
42,123,148,12.770,8.700,3.010,0.660
43,126,151,8.780,7.040,2.620,0.430
44,129,154,3.140,7.370,2.180,0.320
45,132,157,2.090,8.350,1.320,0.360
46,135,160,1.670,5.700,1.160,0.085
47,138,163,1.460,3.330,0.470,0.085
48,141,166,2.300,2.110,0.300,0.085
49,144,169,1.460,1.760,0.420,0.035
50,147,172,1.050,1.470,0.320,NaN
51,150,175,0.420,0.940,0.140,0.090
52,153,178,NaN,0.720,0.085,0.020
53,156,181,NaN,0.750,0.005,0.040
54,159,184,NaN,0.300,NaN,0.060
55,162,187,NaN,0.110,NaN,0.050
56,165,190,NaN,0.070,NaN,NaN
57,168,193,NaN,0.055,NaN,NaN
58,171,196,NaN,0.020,NaN,NaN
Run 7
1,0,25,NaN,0.125,0.030,NaN
2,3,28,NaN,0.105,0.100,0.005
3,6,31,NaN,0.320,0.075,NaN
4,9,34,NaN,1.520,0.195,0.015
5,12,37,1.600,2.900,0.660,0.095
6,15,40,5.750,6.210,1.720,0.340
7,18,43,4.790,11.200,3.470,0.810
