Run,Post Number,Degrees,Azimuth (Degrees),Wind-Dir (%),Height (m),Distance,Concentration (mg/m3)
2.0,25.0,1.5,58.5,4.2735,4.8,100,25.443
2.0,25.0,1.5,58.5,4.2735,4.8,200,8.1134
2.0,25.0,1.5,58.5,4.2735,4.8,50,70.163
2.0,26.0,1.5,60.0,4.2735,2.5,100,25.443
2.0,26.0,1.5,60.0,4.2735,2.5,200,8.1134
2.0,26.0,1.5,60.0,4.2735,2.5,50,2.3114
2.0,27.0,1.5,61.5,4.2735,1.0,100,25.443
2.0,27.0,1.5,61.5,4.2735,1.0,200,8.1134
2.0,27.0,1.5,61.5,4.2735,1.0,50,70.163
2.0,28.0,1.5,63.0,0.42,0.5,100,0.10647
2.0,28.0,1.5,63.0,0.42,0.5,200,8.1134
2.0,28.0,1.5,63.0,0.42,0.5,50,4.1769
2.0,29.0,1.5,64.5,4.2735,4.8,100,25.443
2.0,29.0,1.5,64.5,4.2735,4.8,200,8.1134
2.0,29.0,1.5,64.5,4.2735,4.8,50,70.163
2.0,30.0,1.5,66.0,1.66,4.8,100,0.59605
2.0,30.0,1.5,66.0,1.66,4.8,200,8.1134
2.0,30.0,1.5,66.0,1.66,4.8,50,12.922
2.0,31.0,1.5,67.5,4.2735,4.8,100,25.443
2.0,31.0,1.5,67.5,4.2735,4.8,200,8.1134
2.0,31.0,1.5,67.5,4.2735,4.8,50,70.163
2.0,32.0,1.5,69.0,2.49,4.8,100,2.1658
2.0,32.0,1.5,69.0,2.49,4.8,200,0.22932
2.0,32.0,1.5,69.0,2.49,4.8,50,27.209
2.0,33.0,1.5,70.5,4.2735,4.8,100,25.443
2.0,33.0,1.5,70.5,4.2735,4.8,200,8.1134
2.0,33.0,1.5,70.5,4.2735,4.8,50,70.163
2.0,34.0,1.5,72.0,2.07,4.8,100,6.9888
2.0,34.0,1.5,72.0,2.07,4.8,200,0.77532
2.0,34.0,1.5,72.0,2.07,4.8,50,47.502
2.0,35.0,1.5,73.5,4.2735,4.8,100,25.443
2.0,35.0,1.5,73.5,4.2735,4.8,200,8.1134
2.0,35.0,1.5,73.5,4.2735,4.8,50,70.163
2.0,36.0,1.5,75.0,1.66,2.5,100,9.828
2.0,36.0,1.5,75.0,1.66,2.5,200,1.6198
2.0,36.0,1.5,75.0,1.66,2.5,50,61.971
2.0,37.0,1.5,76.5,4.2735,1.0,100,25.443
2.0,37.0,1.5,76.5,4.2735,1.0,200,8.1134
2.0,37.0,1.5,76.5,4.2735,1.0,50,70.163
2.0,38.0,1.5,78.0,4.98,0.5,100,15.106
2.0,38.0,1.5,78.0,4.98,0.5,200,2.4843
2.0,38.0,1.5,78.0,4.98,0.5,50,69.979
2.0,39.0,1.5,79.5,4.2735,4.8,100,25.443
2.0,39.0,1.5,79.5,4.2735,4.8,200,8.1134
2.0,39.0,1.5,79.5,4.2735,4.8,50,70.163
2.0,40.0,1.5,81.0,4.56,4.8,100,18.109
2.0,40.0,1.5,81.0,4.56,4.8,200,3.4489
2.0,40.0,1.5,81.0,4.56,4.8,50,77.441
2.0,41.0,1.5,82.5,4.2735,4.8,100,25.443
2.0,41.0,1.5,82.5,4.2735,4.8,200,8.1134
2.0,41.0,1.5,82.5,4.2735,4.8,50,70.163
2.0,42.0,1.5,84.0,6.64,4.8,100,19.474
2.0,42.0,1.5,84.0,6.64,4.8,200,4.4135
2.0,42.0,1.5,84.0,6.64,4.8,50,84.721
2.0,43.0,1.5,85.5,4.2735,4.8,100,25.443
2.0,43.0,1.5,85.5,4.2735,4.8,200,8.1134
2.0,43.0,1.5,85.5,4.2735,4.8,50,70.163
2.0,44.0,1.5,87.0,4.56,4.8,100,20.748
2.0,44.0,1.5,87.0,4.56,4.8,200,4.9504
2.0,44.0,1.5,87.0,4.56,4.8,50,81.718
2.0,45.0,1.5,88.5,4.2735,4.8,100,25.443
2.0,45.0,1.5,88.5,4.2735,4.8,200,8.1134
2.0,45.0,1.5,88.5,4.2735,4.8,50,70.163
2.0,46.0,1.5,90.0,5.81,2.5,100,19.929
2.0,46.0,1.5,90.0,5.81,2.5,200,4.4499
2.0,46.0,1.5,90.0,5.81,2.5,50,147.42
2.0,47.0,1.5,91.5,4.2735,1.0,100,25.443
2.0,47.0,1.5,91.5,4.2735,1.0,200,8.1134
2.0,47.0,1.5,91.5,4.2735,1.0,50,70.163
2.0,48.0,1.5,93.0,7.88,0.5,100,20.93
2.0,48.0,1.5,93.0,7.88,0.5,200,5.2325
2.0,48.0,1.5,93.0,7.88,0.5,50,104.65
2.0,49.0,1.5,94.5,4.2735,4.8,100,25.443
2.0,49.0,1.5,94.5,4.2735,4.8,200,8.1134
2.0,49.0,1.5,94.5,4.2735,4.8,50,70.163
2.0,50.0,1.5,96.0,5.39,4.8,100,20.475
2.0,50.0,1.5,96.0,5.39,4.8,200,5.005
2.0,50.0,1.5,96.0,5.39,4.8,50,93.73
2.0,51.0,1.5,97.5,4.2735,4.8,100,25.443
2.0,51.0,1.5,97.5,4.2735,4.8,200,8.1134
2.0,51.0,1.5,97.5,4.2735,4.8,50,70.163
2.0,52.0,1.5,99.0,6.22,4.8,100,20.111
2.0,52.0,1.5,99.0,6.22,4.8,200,5.2234
2.0,52.0,1.5,99.0,6.22,4.8,50,88.907
2.0,53.0,1.5,100.5,4.2735,4.8,100,25.443
2.0,53.0,1.5,100.5,4.2735,4.8,200,8.1134
2.0,53.0,1.5,100.5,4.2735,4.8,50,70.163
2.0,54.0,1.5,102.0,8.71,4.8,100,18.655
2.0,54.0,1.5,102.0,8.71,4.8,200,5.1688
