Run,Post Number,Degrees,Azimuth (Degrees),Wind-Dir (%),Height (m),Corrected_10-min Concentrations (mg/m3) 50,Corrected_10-min Concentrations (mg/m3) 100,Corrected_10-min Concentrations (mg/m3) 200,Corrected_3-min Concentrations (mg/m3) 50,Corrected_3-min Concentrations (mg/m3) 100,Corrected_3-min Concentrations (mg/m3) 200,Corrected_0.5-min Concentrations (mg/m3) 50,Corrected_0.5-min Concentrations (mg/m3) 100,Corrected_0.5-min Concentrations (mg/m3) 200,10-min Vertical Samples Concentrations (mg/m3) 50,10-min Vertical Samples Concentrations (mg/m3) 100,10-min Vertical Samples Concentrations (mg/m3) 200
2.0,43.0,1.5,85.5,4.2735,4.8,70.163,25.443,8.1134,119.04,25.11,4.5291,15.21,57.722,10.325,86.326,29.573,9.3305
2.0,44.0,1.5,87.0,4.56,4.8,81.718,20.748,4.9504,107.88,23.157,4.6779,19.89,57.722,10.325,86.326,29.573,9.3305
2.0,45.0,1.5,88.5,4.2735,4.8,70.163,25.443,8.1134,94.86,23.808,5.3289,19.08,57.722,10.325,86.326,29.573,9.3305
2.0,46.0,1.5,90.0,5.81,2.5,147.42,19.929,4.4499,87.141,27.435,5.58,20.52,57.722,10.325,81.6,19.7,4.77
2.0,47.0,1.5,91.5,4.2735,1.0,70.163,25.443,8.1134,88.35,28.923,5.58,14.31,57.722,10.325,105.0,29.573,9.3305
2.0,48.0,1.5,93.0,7.88,0.5,104.65,20.93,5.2325,78.771,27.435,5.8311,15.21,57.722,1.152,110.0,23.3,4.52
2.0,49.0,1.5,94.5,4.2735,4.8,70.163,25.443,8.1134,64.821,22.878,4.836,15.21,1.692,1.098,86.326,29.573,9.3305
2.0,50.0,1.5,96.0,5.39,4.8,93.73,20.475,5.005,53.94,18.693,6.0729,19.89,2.97,0.882,86.326,29.573,9.3305
2.0,51.0,1.5,97.5,4.2735,4.8,70.163,25.443,8.1134,47.709,17.205,6.045,20.52,3.348,2.142,86.326,29.573,9.3305
2.0,52.0,1.5,99.0,6.22,4.8,88.907,20.111,5.2234,44.361,20.46,6.324,21.42,7.236,5.094,86.326,29.573,9.3305
2.0,53.0,1.5,100.5,4.2735,4.8,70.163,25.443,8.1134,49.011,21.948,6.603,50.76,7.236,12.24,86.326,29.573,9.3305
2.0,54.0,1.5,102.0,8.71,4.8,100.1,18.655,5.1688,57.381,22.413,7.068,61.56,9.18,17.28,86.326,29.573,9.3305
2.0,55.0,1.5,103.5,4.2735,4.8,70.163,25.443,8.1134,62.031,20.46,6.882,99.9,16.56,17.28,86.326,29.573,9.3305
2.0,56.0,1.5,105.0,9.54,2.5,86.359,16.926,4.2679,67.239,20.181,6.882,111.6,31.05,14.4,79.0,19.0,4.04
